image/jpeg,4822
image/png,2245
image/gif,828
text/css,642
application/x-javascript,587
text/javascript,579
application/javascript,344
text/html,253
font/woff,166
application/x-shockwave-flash,123
,102
application/octet-stream,60
text/plain,60
image/svg+xml,58
image/jpg,33
text/xml,29
application/json,29
text/x-cross-domain-policy,26
application/font-woff,22
application/x-unknown-content-type,21
application/x-font-woff,21
binary/octet-stream,13
application/xml,11
video/abst,10
application/x-amf,9
application/x-download,9
application/x-font-ttf,8
video/f4f,5
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
application/js,3
image/bmp,3
application/vnd.ms-fontobject,2
video/f4m,2
multipart/mixed,1
text/vnd.wap.wml,1
video/x-flv,1
video/mp4,1
application/f4m+xml,1
