image/jpeg,5117
image/png,2477
image/gif,1923
text/javascript,1123
text/html,1103
application/x-javascript,991
text/css,731
application/javascript,523
font/woff,218
application/x-shockwave-flash,210
,208
text/plain,172
application/json,119
application/x-unknown-content-type,81
application/octet-stream,76
image/svg+xml,67
text/xml,65
image/jpg,38
application/xml,31
text/x-cross-domain-policy,29
application/font-woff,18
application/x-font-woff,16
application/x-amf,14
text/x-json,12
application/x-font-ttf,6
binary/octet-stream,6
application/x-download,6
application/unknown,6
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
video/x-flv,4
application/js,3
image/bmp,3
application/vnd.ms-fontobject,2
image/tiff,1
text/vnd.wap.wml,1
application/x-troff-man,1
video/mp4,1
application/f4m+xml,1
