image/gif,6137
text/html,4307
text/javascript,2662
application/x-javascript,2400
application/javascript,1422
application/x-unknown-content-type,1418
text/plain,954
image/png,842
image/jpeg,580
application/x-shockwave-flash,373
text/css,202
,133
application/json,101
text/xml,65
application/octet-stream,20
image/svg+xml,17
application/xml,17
text/x-cross-domain-policy,5
font/x-woff,3
application/relax-ng-compact-syntax,2
text/json,2
multipart/mixed,1
video/webm,1
video/x-flv,1
audio/ogg,1
text/x-js,1
video/mp4,1
image/bmp,1
image/jpg,1
