image/jpeg,6121
image/gif,5742
text/html,3376
application/x-javascript,2951
text/javascript,2745
image/png,2614
application/javascript,1763
application/x-unknown-content-type,987
text/css,876
text/plain,663
application/x-shockwave-flash,362
,265
font/woff,232
application/json,194
text/xml,96
application/octet-stream,81
image/svg+xml,80
application/xml,42
application/font-woff,24
text/x-cross-domain-policy,21
application/x-font-woff,17
text/x-json,15
binary/octet-stream,11
application/x-amf,11
application/x-download,9
video/abst,7
application/x-font-ttf,6
video/webm,6
application/unknown,6
image/jpg,6
image/x-png,4
font/x-woff,4
application/x-woff,4
application/js,3
video/x-flv,3
audio/ogg,3
image/bmp,3
video/mp4,2
video/f4f,2
application/x-php,2
application/vnd.ms-fontobject,2
image/tiff,1
multipart/mixed,1
text/x-js,1
video/f4m,1
font/ttf,1
text/vnd.wap.wml,1
text/x-c,1
application/x-troff-man,1
